,Country,Transportation Mode,Order Type,Fulfillment Method,Product Category,Vendor Incoterm,Reason Code,Reason Code Duration,Item Tracer Category,Illustrative Price,Ordered Quantity,Shipped Quantity,TLP Indicator,Deliver,Process PO/DO,USAID Approval,RO Validation,Sourcing and Planning,Manufacture,Pick Up,Quality Assurance,Estimated Lead Time in Days,Estimated Lead Time in Days,Average Days Late,Estimated Lead Time in Days,Estimated Lead Time in Days,Order Cycle Time
10225,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA,AD,25.0,Laboratory,75.0,14,14,GSC,12.0,61.0,0.0,6.0,35.0,48.0,46.0,-63.5,140.0,140.0,-6.0,140.0,140.0,205
10226,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA,AD,25.0,Laboratory,60.0,41,41,GSC,12.0,61.0,0.0,6.0,35.0,48.0,46.0,-63.5,140.0,140.0,-6.0,140.0,140.0,205
10233,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA,AD,11.0,Laboratory,60.0,34,34,GSC,20.0,31.0,5.0,6.0,35.0,180.0,71.0,-63.5,168.0,168.0,5.0,168.0,168.0,345
10234,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA,AD,11.0,Laboratory,280.0,620,620,GSC,20.0,31.0,5.0,6.0,35.0,180.0,71.0,-63.5,168.0,168.0,5.0,168.0,168.0,345
10236,Zimbabwe,Air,Purchase Order,Direct Drop,Essential Medicines,FCA,AD,77.0,TB HIV,14.25,11913,11913,GSC,20.0,6.0,2.0,7.0,62.0,171.0,83.0,35.0,175.0,175.0,1.0,175.0,175.0,303
10240,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA,AD,11.0,Laboratory,675.0,6,6,GSC,20.0,31.0,5.0,6.0,35.0,180.0,71.0,-63.5,168.0,168.0,5.0,168.0,168.0,345
10245,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA,AD,25.0,Laboratory,280.0,85,85,GSC,12.0,61.0,0.0,6.0,35.0,48.0,46.0,-63.5,140.0,140.0,-6.0,140.0,140.0,205
10246,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA,AD,11.0,Laboratory,75.0,12,12,GSC,20.0,31.0,5.0,6.0,35.0,180.0,71.0,-63.5,168.0,168.0,5.0,168.0,168.0,345
10250,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA,AD,11.0,Laboratory,280.0,71,71,GSC,20.0,31.0,5.0,6.0,35.0,180.0,71.0,-63.5,168.0,168.0,5.0,168.0,168.0,345
10251,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,60.0,Laboratory,104.0,583,43,GSC,15.0,21.0,3.0,6.0,35.0,418.0,28.0,-63.5,140.0,140.0,335.0,140.0,140.0,496
10253,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28722.0,Laboratory,273.0,4,4,GSC,15.0,36.0,1.0,6.0,35.0,183.0,28.0,-63.5,133.0,133.0,365.0,133.0,133.0,227
10254,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-28583.0,Laboratory,280.0,20,20,DCP,15.0,25.0,0.0,6.0,35.0,176.0,28.0,-63.5,133.0,133.0,28.0,133.0,133.0,282
10255,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,90.0,Laboratory,30.5,14200,14200,DCP,15.0,16.0,0.0,6.0,35.0,355.0,28.0,-63.5,245.0,245.0,22.5,245.0,245.0,469
10257,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,221.0,Laboratory,130.0,92,92,GSC,15.0,39.0,0.0,6.0,35.0,186.0,28.0,-63.5,217.0,217.0,92.0,217.0,217.0,620
10258,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28791.0,Laboratory,260.0,133,133,GSC,15.0,79.0,4.0,6.0,35.0,302.0,28.0,-63.5,140.0,140.0,365.0,140.0,140.0,445
10260,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-15.0,Laboratory,18.0,44,44,DCP,15.0,48.0,0.0,6.0,35.0,75.0,28.0,-63.5,112.0,112.0,-51.0,112.0,112.0,219
10261,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,UD,29.0,Laboratory,5.95,3000,3000,DCP,15.0,61.0,1.0,6.0,35.0,75.0,28.0,-63.5,140.0,140.0,68.5,140.0,140.0,256
10270,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,221.0,Laboratory,204.0,1327,1327,GSC,15.0,39.0,0.0,6.0,35.0,186.0,28.0,-63.5,217.0,217.0,92.0,217.0,217.0,620
10271,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28722.0,Laboratory,204.0,142,142,GSC,15.0,36.0,1.0,6.0,35.0,183.0,28.0,-63.5,133.0,133.0,365.0,133.0,133.0,227
10275,Uganda,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-27.0,Laboratory,417.0,10,10,DCP,19.0,42.0,17.0,5.0,84.0,92.0,34.5,13.0,119.0,119.0,42.0,119.0,119.0,191
10277,Uganda,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-32.0,Laboratory,204.2,160,160,DCP,15.0,138.0,1.0,6.0,35.0,-30.0,28.0,-63.5,140.0,140.0,21.5,140.0,140.0,254
10278,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,11.0,Other Non-Pharma,41.0,637,637,DCP,15.0,0.0,3.0,6.0,35.0,75.0,28.0,-63.5,63.0,63.0,39.0,63.0,63.0,133
10279,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,13.0,Laboratory,201.5,12,12,DCP,19.0,34.0,0.0,5.0,84.0,56.0,34.5,13.0,49.0,49.0,48.0,49.0,49.0,147
10280,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-84.0,Laboratory,68.75,1,1,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10282,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,31.0,Laboratory,91.5,45,45,DCP,15.0,79.0,1.0,6.0,35.0,75.0,28.0,-63.5,84.0,84.0,209.0,84.0,84.0,328
10283,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,31.0,Laboratory,91.5,15,15,DCP,15.0,79.0,1.0,6.0,35.0,85.0,28.0,-63.5,56.0,56.0,108.0,56.0,56.0,199
10288,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,21.0,Laboratory,195.0,600,600,DCP,15.0,21.0,0.0,6.0,35.0,75.0,28.0,-63.5,98.0,98.0,37.0,98.0,98.0,173
10289,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,45.0,Laboratory,195.0,300,300,DCP,15.0,21.0,0.0,6.0,35.0,75.0,28.0,-63.5,154.0,154.0,31.0,154.0,154.0,320
10291,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-100.0,Laboratory,7.88,2,2,DCP,19.0,59.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,100.0,133.0,133.0,182
10292,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-88.0,Laboratory,190.0,2,2,DCP,19.0,59.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,88.0,133.0,133.0,177
10293,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-84.0,Laboratory,3.87,2,2,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10295,Haiti,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-100.0,Laboratory,160.0,1,1,DCP,15.0,73.0,5.0,6.0,35.0,75.0,28.0,-63.5,140.0,140.0,123.0,140.0,140.0,205
10297,Zimbabwe,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,7.0,Laboratory,2.2,38571,38571,DCP,15.0,14.0,0.0,6.0,35.0,263.0,28.0,-63.5,91.0,91.0,50.0,91.0,91.0,254
10301,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,0.0,Laboratory,37.995,120,120,DCP,15.0,3.0,0.0,6.0,35.0,118.0,28.0,-63.5,84.0,84.0,37.0,84.0,84.0,135
10303,Uganda,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-27.0,Laboratory,209.0,10,10,DCP,19.0,42.0,17.0,5.0,84.0,92.0,34.5,13.0,119.0,119.0,42.0,119.0,119.0,191
10305,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,0.0,Laboratory,47.99,11000,11000,DCP,15.0,61.0,0.0,6.0,35.0,180.0,28.0,-63.5,196.0,196.0,45.0,196.0,196.0,250
10306,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-84.0,Laboratory,1.62,2,2,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10307,Uganda,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-27.0,Laboratory,209.0,10,10,DCP,19.0,42.0,17.0,5.0,84.0,92.0,34.5,13.0,119.0,119.0,42.0,119.0,119.0,191
10309,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,13.0,Laboratory,86.64,12,12,DCP,19.0,34.0,0.0,5.0,84.0,56.0,34.5,13.0,49.0,49.0,48.0,49.0,49.0,147
10311,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-28512.0,Laboratory,75.0,180,180,DCP,15.0,25.0,3.0,6.0,35.0,208.0,28.0,-63.5,168.0,168.0,39.5,168.0,168.0,330
10314,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,UD,31.0,Laboratory,3397.985,3,3,DCP,19.0,73.0,0.0,5.0,84.0,56.0,34.5,13.0,112.0,112.0,87.0,112.0,112.0,228
10315,Togo,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28511.0,Laboratory,204.0,28,28,GSC,15.0,163.0,12.0,6.0,35.0,-6.0,28.0,-63.5,105.0,105.0,51.0,105.0,105.0,407
10319,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-122.0,Laboratory,6.66,2,2,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10320,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,0.0,Laboratory,75.0,155,155,DCP,15.0,45.0,0.0,6.0,35.0,161.0,28.0,-63.5,140.0,140.0,-27944.0,140.0,140.0,227
10322,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-84.0,Laboratory,61.02,2,2,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10324,Uganda,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,21.0,Laboratory,16.5,32,32,DCP,15.0,97.0,14.0,6.0,35.0,75.0,28.0,-63.5,56.0,56.0,50.0,56.0,56.0,272
10325,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,278.0,Laboratory,385.0,13,13,DCP,15.0,28.0,0.0,6.0,35.0,337.0,28.0,-63.5,91.0,91.0,274.0,91.0,91.0,385
10327,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,285.0,Laboratory,385.0,12,12,DCP,15.0,28.0,0.0,6.0,35.0,337.0,28.0,-63.5,84.0,84.0,281.0,84.0,84.0,385
10330,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,221.0,Laboratory,155.0,74,74,GSC,15.0,39.0,0.0,6.0,35.0,186.0,28.0,-63.5,217.0,217.0,92.0,217.0,217.0,620
10334,Rwanda,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-15.0,Laboratory,55.0,18,18,DCP,15.0,104.0,0.0,6.0,35.0,89.0,28.0,-63.5,112.0,112.0,66.0,112.0,112.0,203
10338,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-88.0,Laboratory,8.76,6,6,DCP,19.0,59.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,88.0,133.0,133.0,177
10341,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-80.0,Laboratory,63.0,25,25,DCP,15.0,4.0,1.0,6.0,35.0,35.0,28.0,-63.5,119.0,119.0,22.0,119.0,119.0,139
10342,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,221.0,Laboratory,216.0,74,74,GSC,15.0,39.0,0.0,6.0,35.0,186.0,28.0,-63.5,217.0,217.0,92.0,217.0,217.0,620
10345,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,25.0,Laboratory,4882.51,6,6,DCP,19.0,103.0,2.0,5.0,84.0,139.0,34.5,13.0,105.0,105.0,112.0,105.0,105.0,289
10348,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,31.0,Laboratory,32.5,1070,1070,DCP,15.0,79.0,3.0,6.0,35.0,75.0,28.0,-63.5,63.0,63.0,50.0,63.0,63.0,175
10349,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,0.0,Laboratory,79.0,60,60,DCP,15.0,109.0,1.0,6.0,35.0,109.0,28.0,-63.5,140.0,140.0,120.0,140.0,140.0,274
10353,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-84.0,Laboratory,112.97,2,2,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10354,Uganda,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,9.0,Laboratory,11.61,12,12,DCP,15.0,77.0,14.0,6.0,35.0,75.0,28.0,-63.5,56.0,56.0,60.0,56.0,56.0,251
10355,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-28512.0,Laboratory,280.0,175,175,DCP,15.0,25.0,3.0,6.0,35.0,208.0,28.0,-63.5,168.0,168.0,39.5,168.0,168.0,330
10358,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-88.0,Laboratory,312.0,2,2,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,88.0,133.0,133.0,177
10360,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,0.0,Laboratory,37.995,200,200,DCP,15.0,3.0,0.0,6.0,35.0,174.0,28.0,-63.5,140.0,140.0,37.0,140.0,140.0,191
10363,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-115.0,Laboratory,10.88,594,594,DCP,15.0,12.0,1.0,6.0,35.0,75.0,28.0,-63.5,161.0,161.0,35.0,161.0,161.0,153
10366,Uganda,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,21.0,Laboratory,11.61,9,9,DCP,15.0,97.0,14.0,6.0,35.0,75.0,28.0,-63.5,56.0,56.0,50.0,56.0,56.0,272
10369,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-28512.0,Laboratory,280.0,20,20,DCP,15.0,25.0,3.0,6.0,35.0,208.0,28.0,-63.5,168.0,168.0,39.5,168.0,168.0,330
10370,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-84.0,Laboratory,33.09,2,2,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10371,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,25.0,Laboratory,7285.01,6,6,DCP,19.0,103.0,2.0,5.0,84.0,139.0,34.5,13.0,105.0,105.0,112.0,105.0,105.0,289
10373,Uganda,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-27.0,Laboratory,104.0,10,10,DCP,19.0,42.0,17.0,5.0,84.0,92.0,34.5,13.0,119.0,119.0,42.0,119.0,119.0,191
10374,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,28.0,Laboratory,2.48,6000,6000,DCP,15.0,1.0,0.0,6.0,35.0,75.0,28.0,-63.5,63.0,63.0,68.0,63.0,63.0,147
10375,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28791.0,Laboratory,52.0,133,133,GSC,15.0,79.0,4.0,6.0,35.0,302.0,28.0,-63.5,140.0,140.0,365.0,140.0,140.0,445
10376,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,0.0,Laboratory,385.0,14,14,DCP,15.0,28.0,0.0,6.0,35.0,250.0,28.0,-63.5,112.0,112.0,-27912.0,112.0,112.0,298
10380,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-84.0,Laboratory,3.93,1,1,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10381,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28791.0,Laboratory,198.0,34,34,GSC,15.0,79.0,4.0,6.0,35.0,302.0,28.0,-63.5,140.0,140.0,365.0,140.0,140.0,445
10382,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-88.0,Laboratory,7.88,2,2,DCP,19.0,59.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,88.0,133.0,133.0,177
10386,Uganda,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,UD,37.0,Laboratory,1044.0,50,50,DCP,19.0,28.0,1.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,102.0,133.0,133.0,240
10391,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,11.0,Laboratory,3.52,1158,1158,DCP,15.0,0.0,3.0,6.0,35.0,75.0,28.0,-63.5,63.0,63.0,39.0,63.0,63.0,133
10393,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28722.0,Laboratory,155.0,8,8,GSC,15.0,36.0,1.0,6.0,35.0,183.0,28.0,-63.5,133.0,133.0,365.0,133.0,133.0,227
10397,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,39.0,Laboratory,385.0,11,11,DCP,15.0,28.0,0.0,6.0,35.0,250.0,28.0,-63.5,105.0,105.0,154.0,105.0,105.0,298
10402,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-107.0,Laboratory,8.76,2,2,DCP,19.0,91.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,88.0,133.0,133.0,177
10408,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,11.0,Other Non-Pharma,5.9,700,700,DCP,15.0,0.0,3.0,6.0,35.0,75.0,28.0,-63.5,63.0,63.0,39.0,63.0,63.0,133
10409,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-24.0,Laboratory,137.0,518,518,GSC,15.0,17.0,0.0,6.0,35.0,75.0,28.0,-63.5,168.0,168.0,16.0,168.0,168.0,356
10414,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,0.0,Laboratory,36.65,1664,1664,DCP,15.0,8.0,0.0,6.0,35.0,275.0,28.0,-63.5,238.0,238.0,45.0,238.0,238.0,373
10415,Haiti,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-61.0,Laboratory,105.0,12,12,DCP,15.0,42.0,2.0,6.0,35.0,-1.0,28.0,-63.5,140.0,140.0,56.0,140.0,140.0,205
10416,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,37.0,Laboratory,195.0,550,550,DCP,15.0,21.0,0.0,6.0,35.0,75.0,28.0,-63.5,70.0,70.0,35.0,70.0,70.0,143
10417,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-88.0,Laboratory,252.8,2,2,DCP,19.0,59.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,88.0,133.0,133.0,177
10422,Uganda,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-27.0,Laboratory,28.2,5,5,DCP,15.0,42.0,17.0,6.0,35.0,92.0,28.0,-63.5,119.0,119.0,42.0,119.0,119.0,191
10424,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,271.0,Laboratory,385.0,10,10,DCP,15.0,28.0,0.0,6.0,35.0,250.0,28.0,-63.5,98.0,98.0,180.0,98.0,98.0,298
10425,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,14.0,Laboratory,31.0,100,100,DCP,15.0,19.0,0.0,6.0,35.0,150.0,28.0,-63.5,147.0,147.0,23.0,147.0,147.0,255
10426,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,0.0,Laboratory,385.0,30,30,DCP,15.0,28.0,0.0,6.0,35.0,190.0,28.0,-63.5,119.0,119.0,-27972.0,119.0,119.0,238
10429,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-28433.0,Laboratory,280.0,130,130,DCP,15.0,33.0,0.0,6.0,35.0,219.0,28.0,-63.5,224.0,224.0,30.0,224.0,224.0,328
10430,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-28653.0,Laboratory,30.5,12300,12300,DCP,15.0,12.0,0.0,6.0,35.0,162.0,28.0,-63.5,63.0,63.0,32.0,63.0,63.0,283
10435,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-84.0,Laboratory,26.1,2,2,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10439,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DPP,SD,0.0,Laboratory,280.0,100,100,DCP,15.0,45.0,0.0,6.0,35.0,161.0,28.0,-63.5,140.0,140.0,-27944.0,140.0,140.0,227
10440,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,221.0,Laboratory,273.0,37,37,GSC,15.0,39.0,0.0,6.0,35.0,186.0,28.0,-63.5,217.0,217.0,92.0,217.0,217.0,620
10445,Haiti,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-88.0,Laboratory,232.0,1,1,DCP,15.0,59.0,5.0,6.0,35.0,75.0,28.0,-63.5,140.0,140.0,88.0,140.0,140.0,177
10446,Kenya,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,19.0,Laboratory,256.13,6,6,GSC,15.0,104.0,0.0,6.0,35.0,6.0,28.0,-63.5,91.0,91.0,65.5,91.0,91.0,266
10449,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,32.0,Laboratory,30.5,18000,18000,DCP,15.0,97.0,1.0,6.0,35.0,75.0,28.0,-63.5,119.0,119.0,144.0,119.0,119.0,311
10451,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DPP,SD,0.0,Laboratory,280.0,15,15,DCP,15.0,45.0,0.0,6.0,35.0,161.0,28.0,-63.5,140.0,140.0,-27944.0,140.0,140.0,227
10461,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-84.0,Laboratory,12.13,2,2,DCP,19.0,58.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,95.0,133.0,133.0,243
10463,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28722.0,Laboratory,216.0,8,8,GSC,15.0,36.0,1.0,6.0,35.0,183.0,28.0,-63.5,133.0,133.0,365.0,133.0,133.0,227
10464,Liberia,Air,Purchase Order,Direct Drop,Essential Medicines,DAP,AD,-43.0,Other Pharma,0.6,2195,2195,GSC,31.0,84.0,3.0,7.0,62.0,72.0,36.0,35.0,140.0,140.0,51.0,140.0,140.0,165
10467,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-95.0,Laboratory,5.17,11611,11611,DCP,15.0,12.0,1.0,6.0,35.0,75.0,28.0,-63.5,105.0,105.0,69.0,105.0,105.0,190
10469,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28722.0,Laboratory,18.0,8,8,GSC,15.0,36.0,1.0,6.0,35.0,183.0,28.0,-63.5,133.0,133.0,365.0,133.0,133.0,227
10473,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,11.0,Laboratory,4.7,546,546,DCP,15.0,0.0,3.0,6.0,35.0,75.0,28.0,-63.5,63.0,63.0,39.0,63.0,63.0,133
10475,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28722.0,Laboratory,130.0,10,10,GSC,15.0,36.0,1.0,6.0,35.0,183.0,28.0,-63.5,133.0,133.0,365.0,133.0,133.0,227
10476,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-100.0,Laboratory,4.0,2,2,DCP,19.0,59.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,100.0,133.0,133.0,182
10478,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,31.0,Laboratory,54.0,54,54,DCP,15.0,79.0,3.0,6.0,35.0,75.0,28.0,-63.5,63.0,63.0,50.0,63.0,63.0,175
10480,Mozambique,Air,Purchase Order,Direct Drop,Laboratory Consumables,CPT,AD,51.0,Laboratory,75.0,618,618,DCP,15.0,115.0,0.0,6.0,35.0,124.0,28.0,-63.5,84.0,84.0,26.66666667,84.0,84.0,273
10481,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DPP,SD,0.0,Laboratory,60.0,6,6,DCP,15.0,45.0,0.0,6.0,35.0,161.0,28.0,-63.5,140.0,140.0,-27944.0,140.0,140.0,227
10486,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,30.0,Laboratory,30.5,18000,18000,DCP,15.0,67.0,1.0,6.0,35.0,75.0,28.0,-63.5,63.0,63.0,112.0,63.0,63.0,221
10488,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-88.0,Laboratory,651.2,2,2,DCP,19.0,59.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,88.0,133.0,133.0,177
10489,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28791.0,Laboratory,55.0,89,89,GSC,15.0,79.0,4.0,6.0,35.0,302.0,28.0,-63.5,140.0,140.0,365.0,140.0,140.0,445
10491,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-88.0,Laboratory,336.0,2,2,DCP,19.0,59.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,88.0,133.0,133.0,177
10492,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,70.0,Laboratory,2.04,382,382,DCP,15.0,13.0,0.0,6.0,35.0,295.0,28.0,-63.5,245.0,245.0,63.0,245.0,245.0,330
10493,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-95.0,Laboratory,300.0,2,2,DCP,19.0,59.0,5.0,5.0,84.0,56.0,34.5,13.0,133.0,133.0,100.0,133.0,133.0,182
